VendorID ,tpep_pickup_datetime ,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID ,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,12/1/2023 1:56,12/1/2023 1:59,1,1.34,1,N,79,233,1,7.2,1,0.5,0,0,1,12.2,2.5,0
2,12/1/2023 1:24,12/1/2023 1:31,2,1.35,1,N,230,246,2,9.3,1,0.5,0,0,1,14.3,2.5,0
1,12/1/2023 1:12,12/1/2023 1:25,1,1.7,1,N,229,50,2,11.4,3.5,0.5,0,0,1,16.4,2.5,0
2,12/1/2023 1:06,12/1/2023 1:15,1,2.14,1,N,90,50,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,12/1/2023 1:23,12/1/2023 1:31,1,2.28,1,N,246,142,1,12.1,1,0.5,1,0,1,18.1,2.5,0
2,12/1/2023 1:36,12/1/2023 1:47,2,7.17,1,N,48,244,1,28.2,1,0.5,6.64,0,1,39.84,2.5,0
2,12/1/2023 1:19,12/1/2023 1:24,1,1.28,1,N,236,75,2,7.9,1,0.5,0,0,1,12.9,2.5,0
2,12/1/2023 1:30,12/1/2023 1:35,1,1.36,1,N,236,74,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,12/1/2023 1:49,12/1/2023 1:54,2,1.27,1,N,263,162,1,7.9,1,0.5,1,0,1,13.9,2.5,0
1,12/1/2023 1:01,12/1/2023 1:14,1,4.4,1,N,45,33,1,19.8,3.5,0.5,5,0,1,29.8,2.5,0
1,12/1/2023 1:36,12/1/2023 1:43,3,0.8,1,N,211,144,1,6.5,3.5,0.5,2.3,0,1,13.8,2.5,0
1,12/1/2023 1:26,12/1/2023 1:31,1,1.2,1,N,79,107,1,7.2,3.5,0.5,2.4,0,1,14.6,2.5,0
2,12/1/2023 1:13,12/1/2023 1:18,1,0.81,1,N,234,186,2,7.2,1,0.5,0,0,1,12.2,2.5,0
1,12/1/2023 1:08,12/1/2023 1:18,1,1.6,1,N,142,162,1,11.4,3.5,0.5,3.25,0,1,19.65,2.5,0
1,12/1/2023 1:37,12/1/2023 1:43,1,1.9,1,N,45,65,1,10,3.5,0.5,2,0,1,17,2.5,0
1,12/1/2023 1:03,12/1/2023 1:15,1,2.1,1,N,170,163,2,13.5,3.5,0.5,0,0,1,18.5,2.5,0
2,12/1/2023 1:15,12/1/2023 1:33,2,3.39,1,N,163,79,1,19.1,1,0.5,4.82,0,1,28.92,2.5,0
2,12/1/2023 1:37,12/1/2023 1:50,2,2.37,1,N,148,158,1,14.2,1,0.5,1,0,1,20.2,2.5,0
2,12/1/2023 1:13,12/1/2023 1:18,1,0.86,1,N,79,107,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,12/1/2023 1:19,12/1/2023 1:22,1,0.57,1,N,137,233,1,5.8,1,0.5,1,0,1,11.8,2.5,0
